Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,4.490000,4.538000,4.472000,4.510000,4.410604,312000
2011-01-04,4.596000,4.600000,4.580000,4.600000,4.498619,112000
2011-01-05,4.578000,4.650000,4.578000,4.650000,4.547518,70000
2011-01-06,4.660000,4.660000,4.618000,4.650000,4.547518,286500
2011-01-07,4.580000,4.620000,4.550000,4.610000,4.508399,501000
2011-01-10,4.624000,4.624000,4.590000,4.590000,4.488840,2744000
2011-01-11,4.652000,4.658000,4.620000,4.622000,4.520135,236500
2011-01-12,4.770000,4.850000,4.770000,4.840000,4.733331,189500
2011-01-13,4.956000,5.010000,4.956000,5.000000,4.889804,131000
2011-01-14,5.200000,5.200000,5.140000,5.200000,5.085395,174500
2011-01-18,5.190000,5.196000,5.160000,5.196000,5.081484,689000
2011-01-19,5.168000,5.168000,5.100000,5.120000,5.007159,303500
2011-01-20,5.054000,5.054000,4.960000,5.000000,4.889804,524000
2011-01-21,4.888000,4.920000,4.888000,4.904000,4.795919,867000
2011-01-24,4.892000,4.918000,4.890000,4.916000,4.807654,178000
2011-01-25,5.110000,5.110000,5.064000,5.100000,4.987600,239000
2011-01-26,5.230000,5.230000,5.190000,5.216000,5.101044,145000
2011-01-27,5.162000,5.164000,5.122000,5.140000,5.026718,161000
2011-01-28,5.220000,5.240000,5.170000,5.180000,5.065837,294000
2011-01-31,5.200000,5.212000,5.180000,5.210000,5.095176,220000
2011-02-01,5.170000,5.192000,5.146000,5.192000,5.077571,157000
2011-02-02,5.350000,5.378000,5.320000,5.372000,5.253606,155500
2011-02-03,5.384000,5.396000,5.334000,5.394000,5.275120,67500
2011-02-04,5.384000,5.396000,5.340000,5.396000,5.277076,173000
2011-02-07,5.244000,5.270000,5.244000,5.262000,5.146029,159500
2011-02-08,4.960000,5.018000,4.950000,5.014000,4.903495,177500
2011-02-09,4.930000,4.938000,4.900000,4.926000,4.817434,127000
2011-02-10,4.838000,4.858000,4.812000,4.854000,4.747022,188000
2011-02-11,5.034000,5.112000,5.034000,5.112000,4.999336,97500
2011-02-14,5.200000,5.232000,5.200000,5.230000,5.114735,129000
2011-02-15,5.220000,5.220000,5.166000,5.218000,5.102999,120500
2011-02-16,5.180000,5.210000,5.180000,5.190000,5.075617,66000
2011-02-17,5.258000,5.266000,5.198000,5.266000,5.149941,86500
2011-02-18,5.342000,5.388000,5.342000,5.380000,5.261429,168000
2011-02-22,5.066000,5.080000,5.002000,5.048000,4.936745,142000
2011-02-23,4.934000,4.988000,4.918000,4.950000,4.840905,133500
2011-02-24,5.040000,5.060000,5.000000,5.010000,4.899583,273500
2011-02-25,5.152000,5.182000,5.134000,5.166000,5.052145,191000
2011-02-28,5.270000,5.358000,5.270000,5.352000,5.234046,185500
2011-03-01,5.400000,5.420000,5.384000,5.390000,5.271208,191000
2011-03-02,5.412000,5.436000,5.410000,5.428000,5.308372,181000
2011-03-03,5.440000,5.500000,5.434000,5.486000,5.365092,109500
2011-03-04,5.704000,5.704000,5.648000,5.668000,5.543082,183000
2011-03-07,5.580000,5.624000,5.550000,5.580000,5.457021,203000
2011-03-08,5.674000,5.768000,5.674000,5.766000,5.638921,139000
2011-03-09,5.788000,5.798000,5.742000,5.758000,5.631098,122000
2011-03-10,5.632000,5.632000,5.550000,5.580000,5.457021,181000
2011-03-11,5.528000,5.618000,5.528000,5.614000,5.490271,209000
2011-03-14,5.744000,5.760000,5.706000,5.736000,5.609582,64000
2011-03-15,5.400000,5.500000,5.380000,5.496000,5.374871,664000
2011-03-16,5.532000,5.568000,5.400000,5.430000,5.310326,141000
2011-03-17,4.982000,5.080000,4.962000,5.030000,4.919143,352500
2011-03-18,4.948000,4.960000,4.932000,4.948000,4.838950,135000
2011-03-21,4.904000,4.994000,4.904000,4.960000,4.850685,186500
2011-03-22,4.920000,4.934000,4.900000,4.926000,4.817434,233500
2011-03-23,4.834000,4.880000,4.830000,4.878000,4.770492,347500
2011-03-24,4.960000,5.038000,4.960000,5.016000,4.905451,221000
2011-03-25,5.078000,5.090000,5.020000,5.050000,4.938703,367500
2011-03-28,4.950000,4.966000,4.910000,4.954000,4.844818,251500
2011-03-29,4.850000,4.924000,4.850000,4.924000,4.815478,260000
2011-03-30,5.020000,5.058000,4.984000,5.046000,4.934790,183000
2011-03-31,4.900000,4.910000,4.880000,4.882000,4.774405,462500
2011-04-01,4.950000,5.010000,4.950000,4.998000,4.887847,277500
2011-04-04,5.020000,5.082000,5.020000,5.060000,4.948481,574500
2011-04-05,5.060000,5.080000,5.030000,5.072000,4.960217,170000
2011-04-06,5.240000,5.296000,5.240000,5.296000,5.179281,165500
2011-04-07,5.310000,5.326000,5.260000,5.290000,5.173412,147500
2011-04-08,5.300000,5.330000,5.298000,5.324000,5.206663,602000
2011-04-11,5.184000,5.184000,5.120000,5.120000,5.007159,205500
2011-04-12,4.980000,5.012000,4.940000,4.980000,4.870245,230500
2011-04-13,5.158000,5.158000,5.128000,5.130000,5.016938,83000
2011-04-14,5.166000,5.166000,5.130000,5.166000,5.052145,96000
2011-04-15,5.156000,5.204000,5.152000,5.180000,5.065837,133500
2011-04-18,5.126000,5.126000,5.074000,5.124000,5.011071,168500
2011-04-19,5.144000,5.208000,5.144000,5.206000,5.091263,272500
2011-04-20,5.514000,5.588000,5.514000,5.554000,5.431594,291000
2011-04-21,5.592000,5.670000,5.590000,5.650000,5.525478,250500
2011-04-25,5.700000,5.700000,5.620000,5.656000,5.531346,154500
2011-04-26,5.760000,5.856000,5.760000,5.840000,5.711291,309500
2011-04-27,5.660000,5.694000,5.600000,5.670000,5.545037,353500
2011-04-28,5.694000,5.754000,5.694000,5.710000,5.584155,110500
2011-04-29,5.720000,5.720000,5.690000,5.700000,5.588274,100000
2011-05-02,5.722000,5.722000,5.670000,5.670000,5.558862,253000
2011-05-03,5.600000,5.638000,5.546000,5.570000,5.460822,322000
2011-05-04,5.450000,5.450000,5.374000,5.410000,5.303957,224500
2011-05-05,5.420000,5.450000,5.382000,5.400000,5.294153,85000
2011-05-06,5.500000,5.500000,5.440000,5.480000,5.372586,135000
2011-05-09,5.428000,5.440000,5.368000,5.420000,5.313762,206000
2011-05-10,5.428000,5.452000,5.428000,5.440000,5.333370,113000
2011-05-11,5.440000,5.550000,5.430000,5.550000,5.441214,405500
2011-05-12,5.606000,5.702000,5.606000,5.690000,5.578470,310500
2011-05-13,5.666000,5.666000,5.584000,5.600000,5.490233,162500
2011-05-16,5.606000,5.670000,5.606000,5.630000,5.519646,228500
2011-05-17,5.490000,5.504000,5.454000,5.504000,5.396116,160000
2011-05-18,5.648000,5.660000,5.600000,5.642000,5.531410,165000
2011-05-19,5.716000,5.728000,5.630000,5.684000,5.572587,315000
2011-05-20,5.696000,5.696000,5.636000,5.646000,5.535332,112000
2011-05-23,5.550000,5.560000,5.534000,5.542000,5.433370,129000
2011-05-24,5.512000,5.514000,5.450000,5.492000,5.384351,131500
2011-05-25,5.540000,5.570000,5.490000,5.570000,5.460822,120500
